STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
LONGWOOD AV,6,4389.0,2509.0,3437.0,2493.0
LORIMER ST,JM,2318.0,949.0,3717.0,3003.0
LORIMER ST,LG,3684.0,382.0,4203.0,1122.0
MARBLE HILL-225,1,3210.0,193.0,5326.0,1070.0
MARCY AV,JMZ,7384.0,3127.0,13247.0,4509.0
METROPOLITAN AV,GL,4733.0,2075.0,7733.0,3714.0
METROPOLITAN AV,M,3614.0,1463.0,2723.0,2614.0
METS-WILLETS PT,7,2277.0,997.0,2479.0,2376.0
MIDDLETOWN RD,6,4159.0,779.0,1970.0,1843.0
MONTROSE AV,L,1557.0,953.0,5707.0,2688.0
MORGAN AV,L,1604.0,1054.0,6276.0,2911.0
MORISN AV/SNDVW,6,6701.0,810.0,5100.0,3430.0
MORRIS PARK,5,5371.0,353.0,1924.0,2312.0
MOSHOLU PKWY,4,10642.0,1228.0,9674.0,2573.0
MT EDEN AV,4,4417.0,1060.0,4611.0,2577.0
MYRTLE AV,JMZ,10574.0,1876.0,10457.0,4881.0
MYRTLE-WILLOUGH,G,6247.0,1380.0,5317.0,2566.0
MYRTLE-WYCKOFF,LM,11845.0,1651.0,17123.0,8771.0
NASSAU AV,G,2605.0,1265.0,6777.0,4207.0
NECK RD,BQ,2894.0,84.0,3143.0,849.0
NEPTUNE AV,F,2013.0,433.0,2606.0,630.0
NEREID AV,25,6337.0,660.0,2884.0,1339.0
NEVINS ST,2345,1523.0,2921.0,9895.0,9701.0
NEW LOTS,L,8184.0,1984.0,3952.0,4386.0
NEW LOTS AV,3,5060.0,1390.0,4820.0,4338.0
NEW UTRECHT AV,ND,5167.0,664.0,583062.0,111498.0
NEWARK BM BW,1,23311.0,821.0,10575.0,384.0
NEWARK C,1,12553.0,301.0,1268.0,121.0
NEWARK HM HE,1,0.0,7282.0,2081.0,22119.0
NEWARK HW BMEBE,1,16922.0,2114.0,2942.0,14006.0
NEWKIRK AV,25,12340.0,1430.0,6339.0,5295.0
NEWKIRK PLAZA,BQ,15685.0,2701.0,10023.0,10310.0
NORTHERN BLVD,MR,8977.0,2937.0,6058.0,5660.0
NORWOOD 205 ST,D,14651.0,1712.0,7470.0,5460.0
NORWOOD AV,JZ,5637.0,987.0,2849.0,3502.0
NOSTRAND AV,3,1534.0,554.0,3773.0,2723.0
NOSTRAND AV,AC,5011.0,2436.0,15877.0,9238.0
OCEAN PKWY,Q,2046.0,322.0,3953.0,1512.0
OZONE PK LEFFRT,A,10129.0,1136.0,5161.0,4101.0
PARK PLACE,23ACE,244.0,1858.0,3032.0,2588.0
PARK PLACE,S,1714.0,1109.0,78.0,247.0
PARKCHESTER,6,27966.0,4562.0,13577.0,16315.0
PARKSIDE AV,BQ,6968.0,1031.0,5050.0,3530.0
PARSONS BLVD,F,5275.0,1483.0,6696.0,4081.0
PATH NEW WTC,1,89417.0,121388.0,75674.0,28595.0
PATH WTC 2,1,630.0,15175.0,3224.0,7839.0
PAVONIA/NEWPORT,1,13632.0,10064.0,19152.0,13097.0
PELHAM BAY PARK,6,6054.0,1063.0,5104.0,3183.0
PELHAM PKWY,25,11472.0,1483.0,8914.0,3395.0
PELHAM PKWY,5,5827.0,968.0,3316.0,2467.0
PENNSYLVANIA AV,3,3300.0,315.0,4483.0,1658.0
PRESIDENT ST,25,1432.0,472.0,4077.0,3588.0
PRINCE ST,NRW,350.0,1686.0,14652.0,16411.0
PROSPECT AV,25,8481.0,802.0,8672.0,2393.0
PROSPECT AV,R,1587.0,1218.0,4414.0,3025.0
PROSPECT PARK,BQS,3736.0,1202.0,8618.0,7507.0
QUEENS PLAZA,EMR,5649.0,9460.0,20912.0,10068.0
QUEENSBORO PLZ,7NQW,2983.0,1833.0,12825.0,3888.0
RALPH AV,C,7276.0,1097.0,5614.0,2740.0
RECTOR ST,1,750.0,971.0,7849.0,4681.0
RECTOR ST,NRW,606.0,701.0,6235.0,1911.0
RIT-MANHATTAN,R,373.0,31.0,3339.0,59.0
ROCKAWAY AV,3,3681.0,679.0,4548.0,4459.0
ROCKAWAY AV,C,7694.0,1331.0,5652.0,3518.0
ROCKAWAY BLVD,A,12901.0,1655.0,6355.0,2804.0
ROCKAWAY PARK B,AS,1142.0,476.0,626.0,649.0
ROOSEVELT ISLND,F,1348.0,717.0,6829.0,4191.0
SARATOGA AV,3,5287.0,666.0,4248.0,3680.0
SENECA AVE,M,3996.0,582.0,2286.0,2481.0
SHEEPSHEAD BAY,BQ,21155.0,3562.0,11742.0,12117.0
SHEPHERD AV,C,5790.0,555.0,2772.0,1592.0
SIMPSON ST,25,9073.0,1334.0,10071.0,4653.0
SMITH-9 ST,FG,1177.0,2112.0,4439.0,5118.0
SOUTH FERRY,1RW,11954.0,3342.0,15436.0,8889.0
SPRING ST,6,737.0,1787.0,10346.0,14000.0
SPRING ST,CE,577.0,482.0,11459.0,2792.0
ST LAWRENCE AV,6,4173.0,611.0,3322.0,2274.0
ST. GEORGE,1,6946.0,0.0,7415.0,0.0
STEINWAY ST,MR,4818.0,1927.0,11708.0,8090.0
STERLING ST,25,2654.0,325.0,6646.0,2684.0
SUTPHIN BLVD,F,6212.0,1035.0,4659.0,2758.0
SUTPHIN-ARCHER,EJZ,22381.0,9521.0,20316.0,16983.0
SUTTER AV,L,5518.0,904.0,3691.0,2244.0
SUTTER AV-RUTLD,3,5413.0,1071.0,6183.0,5620.0
THIRTY ST,1,2485.0,8122.0,10914.0,8585.0
THIRTY THIRD ST,1,7449.0,18973.0,27236.0,9217.0
TIMES SQ-42 ST,1237ACENQRS,1795.0,2348.0,13652.0,7962.0
TIMES SQ-42 ST,1237ACENQRSW,11608.0,16353.0,48496.0,56826.0
TIMES SQ-42 ST,ACENQRS1237W,2493.0,3717.0,11817.0,19361.0
